BookID,Book Name,Author,Publishing Year,Genre,Book Average Rating,Book Rating Count,Publisher 
59,Rendezvous with Rama,Arthur C. Clarke,1973,Science Fiction,4.06,93151,"Amazon Digital Services,  Inc."
60,The Complete Sherlock Holmes,Arthur Conan Doyle,1894,Mystery,4.5,109754,Penguin Group (USA) LLC
61,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,1894,Crime,4.32,56918,HarperCollins Publishers
62,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",1902,Mystery,4.09,154517,Macmillan
63,"Sherlock Holmes: The Complete Novels and Stories, Vol 2","Arthur Conan Doyle, Kyle Freeman",1914,Mystery,4.46,66857,Random House LLC
64,Death of a Salesman,Arthur Miller,1949,Drama,3.49,132061,Penguin Group (USA) LLC
65,Pippi Longstocking,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",1945,Children's Literature,4.11,123065,"Amazon Digital Services,  Inc."
66,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2014,Self-Help and Instruction,4.4,56510,"Amazon Digital Services,  Inc."
67,Her Fearful Symmetry,Audrey Niffenegger,2009,Literary Fiction,3.23,63737,HarperCollins Publishers
68,Dry: A Memoir,Augusten Burroughs,2003,Biography/Autobiography/Memoir,4.01,70550,"Amazon Digital Services,  Inc."
69,Steal Like an Artist,Austin Kleon,2010,Essays/Journalism,3.86,93625,"Amazon Digital Services,  Inc."
70,Infidel,Ayaan Hirsi Ali,2006,Biography/Autobiography/Memoir,4.2,58432,"Amazon Digital Services,  Inc."
71,Anthem,Ayn Rand,1938,Science Fiction,3.62,95620,"Amazon Digital Services,  Inc."
72,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Biography/Autobiography/Memoir,3.57,94696,"Amazon Digital Services,  Inc."
73,Modern Romance,"Aziz Ansari, Eric Klinenberg",2015,Romance,3.85,94231,"Amazon Digital Services,  Inc."
74,Behind Closed Doors,B.A. Paris,2016,Thriller,3.93,57865,Penguin Group (USA) LLC
75,Dreams from My Father,Barack Obama,1995,Biography/Autobiography/Memoir,3.81,128961,HarperCollins Publishers
76,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,2006,Self-Help and Instruction,3.69,110873,"Amazon Digital Services,  Inc."
77,The Bean Trees,Barbara Kingsolver,1988,Literary Fiction,3.94,105032,"Amazon Digital Services,  Inc."
78,Prodigal Summer,Barbara Kingsolver,2000,Literary Fiction,3.98,78529,Simon and Schuster Digital Sales Inc
79,Flight Behavior,Barbara Kingsolver,2012,Literary Fiction,3.75,57078,"Amazon Digital Services,  Inc."
80,"Animal, Vegetable, Miracle: A Year of Food Life","Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",2007,Biography/Autobiography/Memoir,4.03,83881,"Amazon Digital Services,  Inc."
81,The Tale of Peter Rabbit,Beatrix Potter,1901,Children's Literature,4.17,162373,Penguin Group (USA) LLC
82,Silence ,Becca Fitzpatrick,2011,Young Adult,4.16,190722,"Amazon Digital Services,  Inc."
83,Finale,Becca Fitzpatrick,2012,Young Adult,4.22,107569,Penguin Group (USA) LLC
84,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,2012,Young Adult,4.34,108884,"Amazon Digital Services,  Inc."
85,The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",1982,Self-Help and Instruction,4.01,69975,HarperCollins Publishers
86,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",1995,Literary Fiction,3.73,119911,"Amazon Digital Services,  Inc."
87,Saving CeeCee Honeycutt,"Beth Hoffman, Jenna Lamia",2010,Literary Fiction,3.92,54341,"Amazon Digital Services,  Inc."
88,Across the Universe,Beth Revis,2011,Science Fiction,3.78,94176,"Amazon Digital Services,  Inc."
89,Better Homes & Gardens New Cook Book,Better Homes and Gardens,1953,Self-Help and Instruction,4.14,93640,"Amazon Digital Services,  Inc."
90,Beezus and Ramona,Beverly Cleary,1955,Children's Literature,3.97,75987,Random House LLC
91,Notes from a Small Island,Bill Bryson,1995,Essays/Journalism,3.91,66947,"Amazon Digital Services,  Inc."
92,Down Under,Bill Bryson,2000,Biography/Autobiography/Memoir,4.05,58688,"Amazon Digital Services,  Inc."
93,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",1967,Children's Literature,4.19,125668,Hachette Book Group
94,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",1989,Children's Literature,4.21,105192,Simon and Schuster Digital Sales Inc
95,Killing Lincoln: The Shocking Assassination that Changed America Forever,"Bill O'Reilly, Martin Dugard",2011,Biography/Autobiography/Memoir,4.02,71868,"Amazon Digital Services,  Inc."
96,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,1988,Children's Literature,4.65,93001,"Amazon Digital Services,  Inc."
97,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",1987,Graphic Novel,4.61,117788,Penguin Group (USA) LLC
98,"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",2001,Fantasy,3.99,101016,Penguin Group (USA) LLC
99,Ouran High School Host Club,Bisco Hatori,2003,Young Adult,4.36,113881,HarperCollins Publishers
100,Pines,Blake Crouch,2012,Thriller,3.88,34789,"Amazon Digital Services,  Inc."
101,Doctor Zhivago,"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",1957,Literary Fiction,4.03,59973,HarperCollins Publishers
102,Fablehaven,Brandon Mull,2006,Fantasy,4.08,99390,Random House LLC
103,Grip of the Shadow Plague,Brandon Mull,2008,Young Adult,4.26,65638,"Amazon Digital Services,  Inc."
104,Elantris,Brandon Sanderson,2005,Fantasy,4.17,95950,Simon and Schuster Digital Sales Inc
105,Alcatraz Versus the Evil Librarians,Brandon Sanderson,2007,Fantasy,4.35,150736,Random House LLC
106,The Hero of Ages,Brandon Sanderson,2008,Fantasy,4.46,143622,"Amazon Digital Services,  Inc."
107,The Way of Kings,Brandon Sanderson,2010,Fantasy,4.64,144822,"Amazon Digital Services,  Inc."
108,The Alloy of Law,Brandon Sanderson,2011,Fantasy,4.2,72185,"Amazon Digital Services,  Inc."
109,Steelheart,Brandon Sanderson,2013,Science Fiction,4.16,76261,Penguin Group (USA) LLC
110,Words of Radiance,Brandon Sanderson,2014,Fantasy,4.77,73572,HarperCollins Publishers
111,The Way of Shadows,Brent Weeks,2008,Fantasy,4.15,109236,Random House LLC
112,Shadow's Edge,Brent Weeks,2008,Fantasy,4.27,66390,Random House LLC
113,Beyond the Shadows,Brent Weeks,2008,Fantasy,4.29,64961,"Amazon Digital Services,  Inc."
114,The Black Prism,Brent Weeks,2010,Fantasy,4.24,58906,"Amazon Digital Services,  Inc."
115,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,1999,Essays/Journalism,4.06,32626,"Amazon Digital Services,  Inc."
116,Redwall,Brian Jacques,1986,Children's Literature,4.11,73918,"Amazon Digital Services,  Inc."
117,"Saga, Volume One","Brian K. Vaughan, Fiona Staples",2012,Fantasy,4.25,131906,"Amazon Digital Services,  Inc."
118,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, José Marzán Jr.",2003,Science Fiction,4.12,81326,"Amazon Digital Services,  Inc."
119,The Invention of Hugo Cabret,Brian Selznick,2007,Children's Literature,4.23,132159,"Amazon Digital Services,  Inc."
120,The Prayer of Jabez:  Breaking Through to the Blessed Life,Bruce H. Wilkinson,2000,Self-Help and Instruction,3.92,57468,"Amazon Digital Services,  Inc."
121,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,2004,Graphic Novel,4.18,126864,Random House LLC
122,The Power of One,Bryce Courtenay,1989,Historical Fiction,4.34,57312,Random House LLC
123,The Great Divorce,C.S. Lewis,1945,Fantasy,4.28,75031,Penguin Group (USA) LLC
124,The horse and his boy,C.S. Lewis,1954,Fantasy,3.9,189671,Penguin Group (USA) LLC
125,The Last Battle,C.S. Lewis,1956,Fantasy,4.02,158701,"Amazon Digital Services,  Inc."
126,The Silver Chair,"C.S. Lewis, Pauline Baynes",1953,Fantasy,3.95,170453,Hachette Book Group
127,How to Be a Woman,Caitlin Moran,2011,Biography/Autobiography/Memoir,3.73,70446,"Amazon Digital Services,  Inc."
128,The Alienist,Caleb Carr,1994,Crime,4.05,96981,HarperCollins Publishers
129,Hoot,Carl Hiaasen,2002,Young Adult,3.81,75275,Penguin Group (USA) LLC
130,Cosmos,Carl Sagan,1980,Science Fiction,4.35,76440,Penguin Group (USA) LLC
131,Contact,Carl Sagan,1985,Science Fiction,4.11,90917,Random House LLC
132,The Angel's Game,"Carlos Ruiz Zafón , Lucia Graves",2008,Fantasy,3.86,46225,HarperCollins Publishers
133,Tell the Wolves I'm Home,Carol Rifka Brunt,2012,Young Adult,4.04,85582,"Amazon Digital Services,  Inc."
134,The Heart is a Lonely Hunter,Carson McCullers,1940,Literary Fiction,3.97,67643,"Amazon Digital Services,  Inc."
135,City of Heavenly Fire,Cassandra Clare,2014,Fantasy,4.48,177796,"Amazon Digital Services,  Inc."
136,Twilight Director's Notebook,Catherine Hardwicke,2009,Essays/Journalism,4.2,88847,HarperCollins Publishers
137,Where Rainbows End,Cecelia Ahern,2004,Romance,3.95,55236,Random House LLC
138,Everything I Never Told You,Celeste Ng,2014,Literary Fiction,3.78,108703,"Amazon Digital Services,  Inc."
139,The Art of Fielding,Chad Harbach,2011,Literary Fiction,3.99,81712,"Amazon Digital Services,  Inc."
140,The Chosen,Chaim Potok,1967,Literary Fiction,4.03,70701,"Amazon Digital Services,  Inc."
141,Club Dead,Charlaine Harris,2003,Fantasy,4.03,181323,HarperCollins Publishers
142,Dead to the World,Charlaine Harris,2004,Fantasy,4.13,199572,"Amazon Digital Services,  Inc."
143,Dead as a Doornail ,Charlaine Harris,2005,Fantasy,4.01,169560,Penguin Group (USA) LLC
144,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,2006,Fantasy,4.02,163054,Simon and Schuster Digital Sales Inc
