Prim_Author,total_gross_sales,book_count,total_units_sold,sales_rank
"Faye Perozich",111.87,1,2862,656
"Chuck Klosterman",111.87,1,2862,656
"Robert K. Massie",110.88,1,4480,659
"Eric Ries",110.88,1,4440,659
"James Fenimore Cooper",109.89,1,4400,661
"Wendelin Van Draanen",109.89,1,4360,661
"Travis Bradberry",109.89,1,4360,661
"Louis de Bernieres",108.90,1,4360,664
"Adam Johnson",108.90,1,4320,664
"Jodi Ellen Malpas",108.90,1,4320,664
"Guillermo del Toro",107.91,1,4280,667
"Steve Martin",107.91,1,4280,667
"Frank Warren",107.91,1,4280,667
"Nathaniel Philbrick",107.91,1,109,667
"Ayaan Hirsi Ali",107.91,1,109,667
"Walter M. Miller Jr.",106.92,1,108,672
"Michael Shaara",105.93,1,107,673
"Blake Crouch",105.93,1,107,673
