Prim_Author,total_gross_sales,book_count,total_units_sold,sales_rank
"Susanna Kaysen",2724.31,1,1369,147
"Arthur C. Clarke",2695.43,2,10611,148
"Kate DiCamillo",2675.97,2,5993,149
"Kenneth Branagh",2639.34,1,2666,150
"Mary Kubica",2620.72,1,328,151
"Raina Telgemeier",2618.07,1,273,152
"Tite Kubo",2605.92,1,488,153
Sophocles,2567.84,2,416,154
"Susannah Cahalan",2566.65,1,241,155
"Thomas Keneally",2537.90,1,410,156
"E.L. James",2521.94,2,4166,157
"Judy Blume",2482.65,3,42217,158
"Carl Sagan",2481.93,2,40203,159
"Hilary Mantel",2468.49,1,321,160
"Kristin Cashore",2457.95,1,5535,161
"Judith Viorst",2421.90,1,810,162
"Joe Abercrombie",2403.53,3,44577,163
"Piper Kerman",2388.00,1,1200,164
"Stephenie Meyer",2383.69,3,5403,165
"Fyodor Dostoyevsky",2349.26,2,7209,166
"Virginia Woolf",2318.14,2,4586,167
"Tahereh Mafi",2317.96,2,46772,168
"Sylvain Reynard",2312.44,2,57645,169
"Philip K. Dick",2280.46,1,4833,170
"Hugh Howey",2250.49,1,451,171
"Jonathan Stroud",2210.78,3,77651,172
"J.D. Salinger",2154.60,1,540,173
"Chris Kyle",2153.06,1,4563,174
"Lisa See",2152.92,1,308,175
"Margaret Peterson Haddix",2106.45,1,4185,176
"James Clavell",2071.56,1,283,177
"Bill Watterson",2052.54,2,4914,178
"Ned Vizzini",2045.34,1,2066,179
"Henry David Thoreau",2044.35,1,315,180
"Malcolm X",2025.94,1,406,181
"Brandon Mull",2019.16,2,8761,182
"Jessica Knoll",2007.60,1,5670,183
"John Flanagan",1989.61,3,42094,184
"Anne Tyler",1971.13,2,38556,185
"Vanessa Diffenbaugh",1964.16,1,1984,186
"Edith Wharton",1920.20,3,10449,187
"Alice Clayton",1898.00,1,5400,188
"Ray Bradbury",1880.55,1,945,189
"Michelle Hodkin",1879.29,1,4617,190
"V.C. Andrews",1877.82,1,263,191
"Chetan Bhagat",1877.80,3,61788,192
"Kazuo Ishiguro",1874.87,1,313,193
"Tamora Pierce",1867.80,1,4280,194
"Irma S. Rombauer",1864.03,1,5859,195
"Pittacus Lore",1843.79,1,4563,196
"Mitch Albom",1836.87,3,53157,197
"Tess Gerritsen",1835.33,1,4509,198
"Robert C. O'Brien",1815.45,1,455,199
"Jacob Grimm",1811.37,1,363,200
"David Baldacci",1795.52,2,48924,201
"Robert Galbraith",1776.17,2,4773,202
"J.D. Robb",1772.95,1,295,203
"Harriet Beecher Stowe",1771.10,1,890,204
"L.M. Montgomery",1767.51,3,103167,205
"Alan Bradley",1757.25,1,4455,206
"Catherine Hardwicke",1726.08,1,5184,207
"Robin Sloan",1719.85,1,265,208
"Robert T. Kiyosaki",1705.77,1,1723,209
"Jack London",1703.17,1,5481,210
"Kelley Armstrong",1699.56,3,70869,211
"Muriel Barbery",1698.57,1,243,212
"Michael Scott",1693.88,1,5724,213
"James S.A. Corey",1689.48,1,33048,214
"Larry McMurtry",1687.77,1,423,215
"Brian Selznick",1686.62,1,338,216
"Aldous Huxley",1676.64,1,336,217
"Lev Grossman",1675.08,1,1692,218
"Scott Lynch",1674.40,2,34571,219
"Veronica Roth",1664.22,2,43173,220
"Judi Barrett",1662.78,1,5994,221
"Colm Toibin",1659.96,1,108,222
"Ransom Riggs",1642.65,1,235,223
"Jonathan Safran Foer",1629.54,1,1646,224
"John Steinbeck",1623.53,2,47563,225
"Samuel Beckett",1621.97,1,5481,226
"Karen Marie Moning",1618.80,1,4104,227
"Tammara Webber",1613.70,1,1630,228
"Julie Powell",1599.65,1,535,229
"Mindy Kaling",1598.40,1,4320,230
"Marjane Satrapi",1595.92,2,4618,231
"Henrik Ibsen",1588.94,1,106,232
"Deborah Harkness",1577.32,2,7668,233
"Michael   Lewis",1570.83,3,55539,234
"Jenny Han",1556.30,3,35968,235
"Sylvia Nasar",1544.62,1,238,236
"Shannon Hale",1534.92,2,48640,237
"Geraldine Brooks",1513.68,2,10584,238
"Cynthia D'Aprix Sweeney",1508.49,1,4077,239
"Gertrude Chandler Warner",1506.84,1,28944,240
"Fred Gipson",1502.02,1,4280,241
"Salman Rushdie",1474.23,1,4239,242
"Rainbow Rowell",1471.02,2,4970,243
"Leon Uris",1470.72,1,47304,244
"Lois Lowry",1460.34,2,31138,245
"Augusten Burroughs",1448.55,1,3915,246
"Eoin Colfer",1441.80,4,105219,247
"Alice Sebold",1427.42,1,4023,248
"Bernhard Schlink",1423.24,1,476,249
"Upton Sinclair",1419.63,1,237,250
"Maggie Stiefvater",1410.88,3,10852,251
"Anne Rice",1400.10,4,43324,252
"William Peter Blatty",1399.32,1,468,253
"Joyce Carol Oates",1395.15,1,49680,254
"David Guterson",1393.34,1,466,255
"Anita Shreve",1367.35,1,28296,256
Anonymous,1366.86,1,2916,257
"Yana Toboso",1366.86,1,2889,257
"Jon Scieszka",1354.58,2,5510,259
"Carlos Ruiz Zafón ",1351.90,1,4320,260
"Meg Wolitzer",1342.32,1,4536,261
"Tom Stoppard",1334.54,1,106,262
"Julia Child",1330.89,1,4400,263
"Dalai Lama XIV",1327.75,1,2862,264
"Erik Larson",1322.39,2,3312,265
"Jane Green",1320.78,2,61509,266
"Karen Thompson Walker",1314.24,1,4400,267
"John Scalzi",1311.81,1,5913,268
"Robert Munsch",1309.77,1,1323,269
"Jennifer Probst",1307.81,1,37368,270
"Neal Stephenson",1298.28,2,50220,271
"Annie Proulx",1281.86,1,5778,272
"Michael Connelly",1274.56,1,6048,273
"S.C. Stephens",1274.52,2,9396,274
"Allen Ginsberg",1269.60,1,2916,275
"Don Piper",1251.22,1,3942,276
"Lena Dunham",1245.92,1,5616,277
"Jesse Andrews",1241.87,1,2889,278
"Scott Westerfeld",1235.12,2,3238,279
"Elizabeth George Speare",1230.46,1,4158,280
"Caleb Carr",1230.24,1,4752,281
"Peter Benchley",1227.54,1,246,282
"Graeme Simsion",1225.44,1,4360,283
"Matsuri Hino",1225.36,1,53136,284
"Toni Morrison",1219.92,1,408,285
"Terry Goodkind",1218.04,2,4212,286
"Ann Patchett",1210.00,1,605,287
"Cecelia Ahern",1208.90,1,4320,288
"Franz Kafka",1202.85,1,1215,289
"Ahlam Mosteghanemi",1200.10,1,4320,290
"Benjamin Hoff",1198.75,1,46008,291
"Melissa Marr",1197.60,1,240,292
"Jay Anson",1191.26,1,52056,293
"Stephen Crane",1186.92,1,108,294
"Julie Kagawa",1183.56,3,4933,295
"Oliver Sacks",1182.63,1,237,296
"Kody Keplinger",1181.04,1,296,297
"Steven D. Levitt",1176.57,1,4131,298
"Ezra Jack Keats",1170.00,1,32832,299
"Harry Allard",1158.84,1,31320,300
"Daniel Kahneman",1157.31,1,1169,301
"Marion Zimmer Bradley",1157.31,1,1169,301
"Dean Koontz",1154.43,2,457,303
"Randall Munroe",1150.20,1,108,304
"John Green",1149.18,1,107,305
"David Levithan",1149.12,1,288,306
"Rohinton Mistry",1136.20,1,380,307
"John Irving",1134.30,1,570,308
"Gabriel García Márquez",1128.08,1,35208,309
"Bill Willingham",1125.00,1,4050,310
"Ayn Rand",1112.77,1,6021,311
"Dan Simmons",1111.55,2,4755,312
"Irvine Welsh",1100.32,1,368,313
"Helen Fielding",1098.90,1,4360,314
"Susan Beth Pfeffer",1097.92,1,3942,315
"James Ellroy",1088.91,1,4280,316
"E.L. Konigsburg",1085.37,1,363,317
"Benjamin Alire Sáenz",1082.90,1,38232,318
"James Joyce",1080.59,3,93447,319
"J.M. Coetzee",1078.92,1,108,320
"Azar Nafisi",1072.85,1,5805,321
"Jennifer Weiner",1072.50,1,3861,322
"Francis Chan",1064.44,1,356,323
"James Dashner",1059.86,1,5319,324
"M. Scott Peck",1042.84,1,29160,325
"Paul Kalanithi",1041.39,1,261,326
"Chris Van Allsburg",1035.54,1,1046,327
"Charles Darwin",1033.85,1,2943,328
"James C. Collins",1032.93,1,5589,329
"Natsuki Takaya",1031.55,1,345,330
"Friedrich Nietzsche",1030.71,1,59400,331
"James Herriot",1024.29,1,4617,332
"Laura Hillenbrand",1007.50,1,403,333
"Louise Rennison",997.50,1,266,334
"Ellen Raskin",997.50,1,250,334
"Ally Condie",996.93,2,5089,336
"Lee Child",992.68,3,7395,337
"Margaret Weis",992.14,1,2862,338
"Sheryl Sandberg",985.05,1,995,339
"Nicole Krauss",977.55,1,245,340
"Astrid Lindgren",977.55,1,245,340
"Emma Cline",974.78,1,44928,342
"Mark Twain",966.79,1,43416,343
"Albert Camus",965.58,1,242,344
"Seth Grahame-Smith",959.54,2,4695,345
"Michael Ende",953.61,1,239,346
"O. Henry",951.23,1,107,347
"Diana Wynne Jones",950.82,1,318,348
"Olive Ann Burns",950.81,1,42120,349
"Alan Brennert",950.81,1,36720,349
"Richard Feynman",948.10,1,5130,351
"Katherine Boo",934.83,1,34344,352
"Andre Dubus III",933.66,1,234,353
"Keith Richards",926.84,1,28512,354
"Crockett Johnson",925.68,1,6264,355
"B.A. Paris",919.13,1,107,356
"Elena Ferrante",912.73,1,41472,357
"Joan Didion",909.72,1,6156,358
"Marcus Pfister",903.19,1,4887,359
"Alison Bechdel",902.87,1,2889,360
"Bruce H. Wilkinson",899.10,1,4400,361
"Richard Dawkins",897.75,1,6075,362
"Walter Isaacson",896.23,2,7290,363
"Alex Flinn",895.95,1,905,364
"Daniel Quinn",892.04,1,31536,365
"E.M. Forster",891.02,1,298,366
"Geoffrey Chaucer",891.00,1,900,367
"Kenneth H. Blanchard",888.32,1,47520,368
"Stephen Colbert",885.76,1,47520,369
"Richard Carlson",884.35,1,2916,370
"Bill Bryson",881.79,2,8680,371
"Peggy Parish",878.90,1,4320,372
"Joanne Harris",873.68,1,52056,373
"Bill O'Reilly",872.02,1,35208,374
"Laurell K. Hamilton",869.45,2,4103,375
"John Milton",868.26,1,4698,376
"Louis Sachar",864.45,1,2862,377
"Lauren Groff",862.58,1,36504,378
"Douglas Preston",858.03,1,4360,379
"John Bunyan",856.14,1,2889,380
"Roald Dahl",855.27,1,33696,381
"Boris Pasternak",854.93,1,107,382
"Marie Kondo",849.87,1,5751,383
"Herman Koch",848.30,1,4590,384
"Rachel Cohn",846.94,1,106,385
"Jennifer Crusie",846.94,1,106,385
"Bryce Courtenay",846.94,1,106,385
"Dashiell Hammett",846.94,1,106,385
"Ellen DeGeneres",843.28,1,46872,389
"Ellen Hopkins",833.91,1,5643,390
"Hermann Hesse",833.33,1,4509,391
"Nancy Horan",824.82,1,35640,392
"Dr. Seuss",819.31,2,3271,393
"Raymond E. Feist",815.14,1,106,394
"Ernest Hemingway",813.37,1,4401,395
"Laurie Halse Anderson",811.67,2,37908,396
"Melissa de la Cruz",809.16,2,4860,397
"Tana French",803.85,1,2916,398
"Lee Strobel",799.11,1,31752,399
"Truman Capote",792.00,1,800,400
"Cornelia Funke",789.87,1,2862,401
"Ursula Hegi",787.20,1,47304,402
"A.S.A. Harrison",784.16,1,28728,403
"David Mitchell",781.96,1,2862,404
"Jerry Spinelli",777.40,1,260,405
"David Eddings",773.78,2,8760,406
"Wilkie Collins",768.46,1,4158,407
"Patti Smith",766.15,1,385,408
"Nassim Nicholas Taleb",761.91,1,109,409
"T.H. White",746.70,1,2889,410
"Beverly Cleary",740.94,1,106,411
"Sam McBratney",738.53,1,247,412
"Richard Yates",735.64,1,106,413
"Sylvia Day",727.65,1,735,414
"Doris Kearns Goodwin",726.57,1,243,415
"Jack Kerouac",725.70,1,34560,416
"Jeffrey Archer",723.55,1,3915,417
"Amor Towles",712.81,1,40824,418
"Andrew Clements",712.81,1,39960,418
"Ludwig Bemelmans",712.80,1,720,420
"Hans Christian Andersen",708.58,1,3834,421
"Mary Norton",706.32,1,4240,422
"Napoleon Hill",702.90,1,710,423
"Lauren Oliver",698.60,1,55080,424
"Art Spiegelman",695.70,2,35694,425
"Christopher Hitchens",694.84,1,30456,426
Aesop,693.61,1,53784,427
"Frank Herbert",686.40,2,37125,428
"Madeleine L'Engle",678.73,2,39420,429
"Leigh Bardugo",678.30,1,4590,430
"Stephanie Perkins",674.31,1,4563,431
"Tom Robbins",672.75,2,34048,432
"Julia Cameron",670.88,1,4480,433
"Jeff Smith",670.88,1,4400,433
"Lauren Weisberger",668.77,2,8840,435
"Joe Hill",666.77,2,8880,436
"Bisco Hatori",666.65,1,335,437
"Lao Tzu",665.55,1,3915,438
"Michael Ondaatje",663.67,1,51840,439
"Helen Simonson",660.79,1,5967,440
"Jon Krakauer",648.45,1,655,441
"Emmuska Orczy",648.09,1,4617,442
"Aleksandr Solzhenitsyn",646.92,1,108,443
"Mildred D. Taylor",642.39,1,4347,444
"Amanda Hocking",640.93,1,107,445
"Robert McCloskey",637.14,1,4360,446
"Sebastian Junger",634.41,1,4293,447
"Junot Diaz",624.08,1,31536,448
"Richard Matheson",621.92,1,5616,449
"Alexandra Bracken",620.21,1,4240,450
"Sue Grafton",616.90,1,310,451
"Kiera Cass",614.46,1,4158,452
"Philip Pullman",603.98,1,5454,453
"Sabaa Tahir",603.90,1,4320,454
"J.A. Redmerski",600.99,1,5427,455
"David Allen",598.50,1,4050,456
"James Redfield",594.51,1,4023,457
"Huntley Fitzpatrick",594.51,1,4023,457
"Matthew Quick",594.00,1,600,459
"Watty Piper",593.81,1,37152,460
"Alex Garland",589.36,1,106,461
"Rosamunde Pilcher",588.82,1,35424,462
"Ira Levin",588.82,1,34776,462
"Richard Russo",586.04,1,5292,464
"Carl Hiaasen",583.83,1,31752,465
"Jandy Nelson",583.05,1,5265,466
"Willa Cather",582.54,1,3942,467
"Don DeLillo",573.85,1,28296,468
"Christina Schwarz",573.85,1,2916,468
"Terry Hayes",573.85,1,2916,468
"Robert Louis Stevenson",568.86,1,2889,471
"Dan Ariely",563.87,1,2889,472
"Elizabeth Gaskell",562.59,1,58968,473
"Jaycee Dugard",558.60,1,57240,474
"Scott Turow",553.15,1,4995,475
"Esphyr Slobodkina",548.90,1,4280,476
"Anita Diamant",548.90,1,4280,476
"Sharon Creech",544.50,1,550,478
"Thomas L. Friedman",544.18,1,4914,479
"Emily Dickinson",543.91,1,4280,480
"Solomon Northup",543.91,1,4240,480
"Charles Bukowski",540.32,2,7276,482
"Colson Whitehead",538.92,1,108,483
"Cora Carmack",538.92,1,108,483
"John D. Rateliff",538.65,1,52488,485
"Robert Kapilow",532.22,1,4806,486
"William S. Burroughs",529.65,1,107,487
"Amish Tripathi",528.49,2,61168,488
"Rachel Hawkins",526.68,1,50544,489
"Neal Shusterman",524.70,1,530,490
"Ta-Nehisi Coates",523.25,1,4725,491
"Jason Fried",517.27,1,4671,492
"J. Lynn",506.73,1,46440,493
"Flora Rheta Schreiber",502.68,1,35640,494
"Michael Cunningham",500.00,1,5400,495
"Jon Ronson",492.70,1,49032,496
"Isaac Marion",486.78,1,43848,497
"Kami Garcia",483.57,2,53648,498
"Dante Alighieri",478.96,2,50814,499
"Gregory David Roberts",476.19,1,481,500
"Katherine Applegate",475.41,1,4293,501
"Jim Fergus",472.42,1,4266,502
"Lynne Truss",466.83,1,32184,503
"Clement C. Moore",466.83,1,32184,503
"M.R. Carey",463.67,1,233,505
"Katie McGarry",462.84,1,31320,506
"Beth Revis",462.84,1,29376,506
"Alex Haley",460.35,1,465,508
"Eiichiro Oda",458.85,1,2916,509
"Alan Moore",455.40,1,460,510
"Ralph Ellison",455.40,1,460,510
"Peter V. Brett",454.86,1,2889,512
"Carson McCullers",454.86,1,2889,512
"Rick Yancey",454.86,1,2889,512
"Lynne Reid Banks",450.87,1,2889,515
"Simon Winchester",450.87,1,2862,515
"Anna Quindlen",450.87,1,2862,515
"Melissa Bank",448.47,1,453,518
"Marcus Luttrell",446.88,1,4440,519
"Veronica Rossi",446.88,1,4440,519
"Jenny  Lawson",443.52,1,448,521
"Mark Z. Danielewski",439.53,1,3969,522
"Patricia Cornwell",439.53,1,3969,522
"Irving Stone",438.90,1,4320,524
"Helene Wecker",438.90,1,4320,524
"Nora Roberts",437.80,1,5940,526
"Jung Chang",434.91,1,4280,527
"Hiro Mashima",434.91,1,4240,527
"Patrick Rothfuss",434.91,1,4240,527
"Christopher Paul Curtis",431.66,1,2889,530
"J.D. Vance",430.92,1,108,531
"Steven Erikson",430.92,1,108,531
"P.D. James",426.93,1,107,533
"Bryan Lee O'Malley",425.70,1,430,534
"Jennifer Niven",423.87,1,5751,535
"Audrey Niffenegger",416.90,1,4280,536
"Lauren DeStefano",412.56,1,108,537
"Colum McCann",394.68,1,51192,538
"Harlan Coben",394.68,1,50976,538
"Christina Lauren",394.68,1,49896,538
Plato,387.09,1,391,541
"Kate Chopin",371.25,1,375,542
"Sarah Dunant",370.76,1,45576,543
"Shel Silverstein",366.30,1,370,544
"Pierce Brown",359.37,2,3165,545
"Timothy Ferriss",355.81,1,41256,546
"Louise Erdrich",355.81,1,39312,546
"Hanya Yanagihara",355.81,1,38664,546
"Johann David Wyss",355.81,1,37584,546
"Karen Joy Fowler",355.81,1,37152,546
"Frank E. Peretti",352.82,1,36504,551
"E.B. White",352.82,1,36504,551
"Brian Greene",352.82,1,36288,551
"Ronald Holt",352.82,1,35208,551
"Patricia Briggs",350.24,1,4752,555
"P.L. Travers",349.83,1,34128,556
"Richard   Preston",349.83,1,32616,556
"Kim Harrison",349.83,1,32184,556
"Helen Keller",347.49,1,351,559
"Caitlin Moran",346.84,1,28512,560
"Jonathan Tropper",346.50,1,350,561
"Stephen E. Ambrose",343.85,1,2943,562
"Craig Thompson",343.85,1,2943,562
"David Wroblewski",343.85,1,2943,562
"Peter S. Beagle",343.85,1,2916,562
"Angie Sage",343.85,1,2916,562
"Maria V. Snyder",343.85,1,2916,562
"Emily Seife",340.86,1,2889,568
"Carol Rifka Brunt",340.29,1,4617,569
"Jon Stone",340.29,1,4617,569
"L.J. Smith",337.87,1,2862,571
"Richard Wright",334.88,1,4440,572
